,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
112,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",8,3tE5OfatEheU3L5nSpW9FD,Come Together,spotify:track:3tE5OfatEheU3L5nSpW9FD,0.112,0.825,0.775,0.000678,0.0782,-6.161,0.0381,89.601,0.765,52
113,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",9,3AoeaZs8dFemFJr3JdzOL0,You Are Not Alone,spotify:track:3AoeaZs8dFemFJr3JdzOL0,0.639,0.651,0.402,8.09e-05,0.0764,-9.303,0.0281,119.878,0.256,65
114,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",10,1Cfx6KBsyF0tEKbZbS4faj,"Childhood (Theme from ""Free Willy 2"")",spotify:track:1Cfx6KBsyF0tEKbZbS4faj,0.799,0.186,0.204,4.92e-05,0.147,-11.414,0.0332,175.423,0.0849,44
115,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",11,7n6DnNdKKhjyDa1GlGgLeQ,Tabloid Junkie,spotify:track:7n6DnNdKKhjyDa1GlGgLeQ,0.0866,0.814,0.877,7.36e-05,0.277,-7.134,0.152,111.179,0.58,45
116,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",12,5Bw9bAHGaykCFLP0VyqNbJ,2 Bad,spotify:track:5Bw9bAHGaykCFLP0VyqNbJ,0.0698,0.868,0.943,9.09e-06,0.401,-3.85,0.248,103.963,0.523,45
117,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",13,1EdzLQKCE066beJkDfaagd,History,spotify:track:1EdzLQKCE066beJkDfaagd,0.474,0.43,0.594,0.0,0.592,-7.74,0.12,93.906,0.456,44
118,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",14,0nxdtEWLQeLcJ2IQwDftAU,Little Susie / Pie Jesu,spotify:track:0nxdtEWLQeLcJ2IQwDftAU,0.836,0.318,0.182,0.000766,0.0423,-13.168,0.0358,134.66,0.0524,41
119,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",15,1iin2Ll8PHPzoh6xF6LQRh,Smile,spotify:track:1iin2Ll8PHPzoh6xF6LQRh,0.713,0.258,0.301,6.93e-05,0.107,-8.654,0.0317,85.355,0.0394,45
149,Dangerous,1,2EI8uljBPaI23VUr2tv4eS,Jam,spotify:track:2EI8uljBPaI23VUr2tv4eS,0.0487,0.884,0.96,0.0228,0.271,-4.613,0.0721,116.273,0.617,58
150,Dangerous,2,3kFMRdbxcBkPopY8mMFmSU,Why You Wanna Trip on Me,spotify:track:3kFMRdbxcBkPopY8mMFmSU,0.0129,0.889,0.727,0.00284,0.179,-5.845,0.0852,109.658,0.51,47
151,Dangerous,3,5Fy40smNxk0j5OpFMtvfaU,In the Closet,spotify:track:5Fy40smNxk0j5OpFMtvfaU,0.117,0.876,0.782,0.000721,0.149,-3.777,0.0685,110.494,0.622,57
152,Dangerous,4,6yLdWiAkS1ZUrTdgm0yKXL,She Drives Me Wild,spotify:track:6yLdWiAkS1ZUrTdgm0yKXL,0.0697,0.906,0.93,0.0,0.463,-2.081,0.208,109.545,0.645,45
153,Dangerous,5,4jnFqNWeJCeCRHc4HCdxfd,Remember the Time,spotify:track:4jnFqNWeJCeCRHc4HCdxfd,0.153,0.831,0.921,0.00213,0.305,-2.383,0.0581,108.002,0.794,69
154,Dangerous,6,75yYXB96tX1BlSMgL0SMsA,Can't Let Her Get Away,spotify:track:75yYXB96tX1BlSMgL0SMsA,0.13,0.873,0.973,0.689,0.112,-1.947,0.127,108.488,0.582,45
155,Dangerous,7,7woW97CfcWaKtuC6W5BP2K,Heal the World,spotify:track:7woW97CfcWaKtuC6W5BP2K,0.537,0.534,0.485,1.79e-06,0.104,-8.045,0.0467,80.923,0.102,70
156,Dangerous,8,7EsjkelQuoUlJXEw7SeVV4,Black or White,spotify:track:7EsjkelQuoUlJXEw7SeVV4,0.172,0.518,0.9,0.0315,0.0713,-3.748,0.0933,115.029,0.872,66
157,Dangerous,9,4HWcWgleTuUAWnVPNwW4CM,Who Is It,spotify:track:4HWcWgleTuUAWnVPNwW4CM,0.0152,0.862,0.595,0.000343,0.104,-4.655,0.121,103.168,0.502,58
158,Dangerous,10,1euDTbMNRPNfKd8zZz4zTT,Give In to Me,spotify:track:1euDTbMNRPNfKd8zZz4zTT,0.152,0.502,0.855,0.000493,0.106,-3.27,0.0305,86.967,0.338,58
159,Dangerous,11,1igW25R8lnb5ze9GWbuVsl,Will You Be There,spotify:track:1igW25R8lnb5ze9GWbuVsl,0.82,0.349,0.432,0.085,0.191,-9.554,0.0384,82.935,0.137,56
160,Dangerous,12,4J4B9TrVrvQVS6GRPtaxrA,Keep the Faith,spotify:track:4J4B9TrVrvQVS6GRPtaxrA,0.556,0.752,0.647,0.0,0.0869,-5.547,0.0484,143.238,0.672,44
161,Dangerous,13,66mXHPRfAwbnNKnTCNpytj,Gone Too Soon,spotify:track:66mXHPRfAwbnNKnTCNpytj,0.89,0.243,0.186,0.00271,0.097,-12.736,0.0332,144.298,0.119,52
162,Dangerous,14,3u4RKvwDT3CKeYbjxqXEye,Dangerous,spotify:track:3u4RKvwDT3CKeYbjxqXEye,0.025,0.943,0.708,2.33e-05,0.0846,-4.686,0.116,112.959,0.581,56
174,Bad 25th Anniversary,1,5lWFrW5T3JtxVCLDb7etPu,Bad - 2012 Remaster,spotify:track:5lWFrW5T3JtxVCLDb7etPu,0.00462,0.787,0.889,0.423,0.0665,-3.786,0.0397,114.091,0.394,68
175,Bad 25th Anniversary,2,0sKlV58cODrjxGFOyf9IXY,The Way You Make Me Feel - 2012 Remaster,spotify:track:0sKlV58cODrjxGFOyf9IXY,0.0544,0.877,0.854,5.5e-05,0.144,-4.523,0.147,114.472,0.54,73
176,Bad 25th Anniversary,3,2w7VEWHtt8WW88Yt5H9ibZ,Speed Demon - 2012 Remaster,spotify:track:2w7VEWHtt8WW88Yt5H9ibZ,0.000777,0.789,0.748,0.479,0.304,-4.998,0.0521,98.9,0.235,51
177,Bad 25th Anniversary,4,5OoRmdDfAiDztSwrhe7wuE,Liberian Girl - 2012 Remastered Version,spotify:track:5OoRmdDfAiDztSwrhe7wuE,0.464,0.749,0.546,0.00191,0.126,-7.217,0.103,105.232,0.454,59
178,Bad 25th Anniversary,5,75Rv9SkGILm24kmhAYvjZg,Just Good Friends - 2012 Remaster,spotify:track:75Rv9SkGILm24kmhAYvjZg,0.577,0.859,0.934,1.56e-05,0.627,-3.08,0.107,118.888,0.762,45
179,Bad 25th Anniversary,6,21VCYxPZ8A2XpSNUyQCT3B,Another Part of Me - 2012 Remaster,spotify:track:21VCYxPZ8A2XpSNUyQCT3B,0.11,0.78,0.868,7.67e-05,0.352,-4.5,0.0705,106.069,0.773,56
180,Bad 25th Anniversary,7,1kiNatIrwDusOZfR29W0LJ,Man in the Mirror - 2012 Remaster,spotify:track:1kiNatIrwDusOZfR29W0LJ,0.52,0.808,0.812,7.91e-05,0.134,-5.012,0.0381,100.331,0.269,67
